crash_month,crash_year,crash_period,percentage
1,2014,DAY,109.0654308271684
1,2014,NIGHT,140.16574569486696
1,2015,DAY,4.1446786612703984E-2
1,2016,DAY,55.868778843370116
1,2016,NIGHT,17.331657198649808
1,2017,DAY,42.493098337573429
1,2017,NIGHT,13.649330407365445
1,2018,DAY,73.561489140416484
1,2018,NIGHT,24.358135926567652
1,2019,DAY,74.318873988135053
1,2019,NIGHT,25.681126011864951
2,2014,DAY,33.569334979516455
2,2015,NIGHT,5.6294642364596408E-2
2,2016,DAY,56.71895702397525
2,2016,NIGHT,13.880444561808522
2,2017,DAY,44.022267408871208
2,2017,NIGHT,11.742561298884873
2,2018,DAY,63.299458558141644
2,2018,NIGHT,21.08353616548996
3,2016,DAY,61.54241096038723
3,2016,NIGHT,16.227085093308581
3,2017,DAY,53.305536819149154
3,2017,NIGHT,14.85990167845438
3,2018,DAY,73.175947509338059
3,2018,NIGHT,22.731835923729815
4,2015,NIGHT,0.12116894401607056
4,2016,DAY,63.617085334704292
4,2016,NIGHT,14.32482535214252
4,2017,DAY,53.362298032639977
4,2017,NIGHT,16.553625509893905
4,2018,DAY,73.238229447586008
4,2018,NIGHT,26.093193749655381
5,2015,DAY,2.5792981603343711E-2
5,2015,NIGHT,0.2395967366685573
5,2016,DAY,70.428839835944672
5,2016,NIGHT,18.465004957701364
5,2017,DAY,65.167805931418727
5,2017,NIGHT,17.797385546070569
5,2018,DAY,85.757123008129383
5,2018,NIGHT,25.731263286873318
6,2015,DAY,0.39236909601595055
6,2016,DAY,60.280529121674931
6,2016,NIGHT,14.515029852331644
6,2017,DAY,67.823831448589132
6,2017,NIGHT,18.423834443959059
6,2018,DAY,80.810968540200008
6,2018,NIGHT,26.229603539650615
7,2015,DAY,1.3477029369095852
7,2015,NIGHT,0.10241324780600319
7,2016,DAY,69.887563295277516
7,2016,NIGHT,18.424358494611472
7,2017,DAY,72.288179536736436
7,2017,NIGHT,26.159510538036422
7,2018,DAY,75.538559791335558
7,2018,NIGHT,25.922813415061167
8,2014,DAY,109.95377582447811
8,2015,DAY,34.102805935094047
8,2015,NIGHT,8.4955167111601106
8,2016,DAY,94.682526763491765
8,2016,NIGHT,26.742415374260826
8,2017,DAY,83.826854797019962
8,2017,NIGHT,27.243638011457179
8,2018,DAY,77.795168307214155
8,2018,NIGHT,24.55516999264923
9,2015,DAY,128.35313381038441
9,2015,NIGHT,29.048460978371835
9,2016,DAY,98.537229789009643
9,2016,NIGHT,27.276740644128267
9,2017,DAY,98.33185157746594
9,2017,NIGHT,34.285173071576381
9,2018,DAY,74.109450835381878
9,2018,NIGHT,25.586913134034418
10,2015,DAY,258.16187504477364
10,2015,NIGHT,56.799973923275658
10,2016,DAY,104.04693799572544
10,2016,NIGHT,29.90895307268892
10,2017,DAY,110.48750966027295
10,2017,NIGHT,36.066170618373107
10,2018,DAY,79.988529809677843
10,2018,NIGHT,24.288122265790481
11,2014,DAY,7.2457126739700746
11,2015,DAY,243.01124004311504
11,2015,NIGHT,58.315087659724263
11,2016,DAY,102.08274816971061
11,2016,NIGHT,27.035894566437037
11,2017,DAY,108.44787642895355
11,2017,NIGHT,33.216785075476665
11,2018,DAY,71.967349850872949
11,2018,NIGHT,23.04587215532549
12,2015,DAY,226.91951565254817
12,2015,NIGHT,54.46560486955596
12,2016,DAY,109.13627285616036
12,2016,NIGHT,29.037710842499131
12,2017,DAY,115.35973202531224
12,2017,NIGHT,35.085241796449402
12,2018,DAY,73.710816582225235
12,2018,NIGHT,27.420449064653006
