weather_condition,vehicle_type,total_damage_cost
CLEAR,FARM EQUIPMENT,44905.832604271985
SLEET/HAIL,UNKNOWN,139727.38752731684
SEVERE CROSS WIND GATE,UNKNOWN,9361.5932381716266
FOG/SMOKE/HAZE,SPORT UTILITY VEHICLE,454109.26014178677
OTHER,TRUCK - SINGLE UNIT,50073.777316857027
CLOUDY/OVERCAST,AUTOCYCLE,31273.064452846265
CLEAR,OTHER VEHICLE WITH TRAILER,1767655.8075719855
CLOUDY/OVERCAST,BUS OVER 15 PASS.,1056109.5738504671
UNKNOWN,TRACTOR W/O SEMI-TRAILER,18153.735173497374
CLOUDY/OVERCAST,ALL-TERRAIN VEHICLE,250
SNOW,SNOWMOBILE,3050.8000352643012
SEVERE CROSS WIND GATE,PASSENGER,158369.18743663529
SNOW,SPORT UTILITY VEHICLE,6311256.4978334894
UNKNOWN,PICKUP,713066.38031700486
UNKNOWN,OTHER VEHICLE WITH TRAILER,26747.412808661171
CLOUDY/OVERCAST,PICKUP,1195520.7887732037
FOG/SMOKE/HAZE,OTHER,23943.954110022929
SNOW,OTHER VEHICLE WITH TRAILER,78490.143964994757
CLEAR,ALL-TERRAIN VEHICLE,45609.519560677967
UNKNOWN,MOTOR DRIVEN CYCLE,7693.8605058268804
FOG/SMOKE/HAZE,BUS UP TO 15 PASS.,750
SNOW,AUTOCYCLE,54238.668270156624
RAIN,MOTOR DRIVEN CYCLE,9236.2683529291135
SLEET/HAIL,BUS OVER 15 PASS.,19064.505338095922
CLEAR,TRACTOR W/ SEMI-TRAILER,9333153.2127163019
OTHER,BUS UP TO 15 PASS.,12790.251093626943
RAIN,ALL-TERRAIN VEHICLE,13984.615785692642
CLEAR,VAN/MINI-VAN,58491454.182475872
SNOW,OTHER,634328.77414730994
UNKNOWN,MOTORCYCLE,37058.919556777219
RAIN,UNKNOWN,8893790.7312764283
FOG/SMOKE/HAZE,TRACTOR W/ SEMI-TRAILER,25316.496928086926
FOG/SMOKE/HAZE,TRUCK - SINGLE UNIT,27803.40031481034
CLEAR,OTHER,11386158.280588267
FOG/SMOKE/HAZE,AUTOCYCLE,984.73492454017173
SNOW,TRACTOR W/ SEMI-TRAILER,381977.02872294851
RAIN,MOTORCYCLE,132890.80844652481
CLOUDY/OVERCAST,VAN/MINI-VAN,2508876.8482975708
OTHER,AUTOCYCLE,6078.4085744053482
SLEET/HAIL,TRACTOR W/ SEMI-TRAILER,13721.603785576466
OTHER,PICKUP,104074.13325915762
SNOW,TRUCK - SINGLE UNIT,676996.5533576617
RAIN,OTHER VEHICLE WITH TRAILER,121582.45916464063
OTHER,SPORT UTILITY VEHICLE,709699.87134968385
SEVERE CROSS WIND GATE,TRACTOR W/ SEMI-TRAILER,5190.6790374097254
CLEAR,MOTORCYCLE,2822660.5642898898
RAIN,TRACTOR W/ SEMI-TRAILER,1147974.7097797499
CLOUDY/OVERCAST,SPORT UTILITY VEHICLE,6805527.703668301
OTHER,TRACTOR W/ SEMI-TRAILER,21213.794026715052
FOG/SMOKE/HAZE,BUS OVER 15 PASS.,31726.461669250592
SLEET/HAIL,PASSENGER,1641656.3683119754
CLEAR,BUS UP TO 15 PASS.,2645557.5649054651
CLEAR,SPORT UTILITY VEHICLE,155898225.10939705
CLOUDY/OVERCAST,MOTORCYCLE,101712.11837120673
OTHER,BUS OVER 15 PASS.,48602.601421600244
SNOW,VAN/MINI-VAN,2574930.1725570196
SEVERE CROSS WIND GATE,SPORT UTILITY VEHICLE,59096.3759731393
CLOUDY/OVERCAST,UNKNOWN,2600103.9716862054
UNKNOWN,VAN/MINI-VAN,1834079.2234518405
UNKNOWN,TRACTOR W/ SEMI-TRAILER,117455.68575233844
SLEET/HAIL,SPORT UTILITY VEHICLE,245672.77374891273
SEVERE CROSS WIND GATE,BUS UP TO 15 PASS.,4144.3818314935752
UNKNOWN,UNKNOWN,16989101.246002406
FOG/SMOKE/HAZE,PICKUP,52625.776654366935
UNKNOWN,PASSENGER,21804227.441525988
CLOUDY/OVERCAST,TRUCK - SINGLE UNIT,1007387.0314559478
CLEAR,UNKNOWN,81624142.339081869
RAIN,PASSENGER,96483938.775548428
CLEAR,TRUCK - SINGLE UNIT,18281807.416946989
SNOW,PICKUP,1169564.8382737671
SLEET/HAIL,VAN/MINI-VAN,40412.478250432127
SLEET/HAIL,OTHER,18163.399697766705
SLEET/HAIL,OTHER VEHICLE WITH TRAILER,11353.922612180504
SEVERE CROSS WIND GATE,VAN/MINI-VAN,15615.085360558083
CLEAR,PICKUP,27338765.549767654
RAIN,SPORT UTILITY VEHICLE,19339463.211439062
CLEAR,PASSENGER,754366593.59387398
UNKNOWN,BUS UP TO 15 PASS.,40973.884342315228
CLEAR,BUS OVER 15 PASS.,17961762.988381993
