beat_of_occurrence,total_num_units,crash_season
111,3084,SUMMER_SPRING
111,3770,WINTER_AUTUMN
112,2407,SUMMER_SPRING
112,2790,WINTER_AUTUMN
113,1638,SUMMER_SPRING
113,1789,WINTER_AUTUMN
114,7838,SUMMER_SPRING
114,7746,WINTER_AUTUMN
121,3189,SUMMER_SPRING
121,4168,WINTER_AUTUMN
122,6655,SUMMER_SPRING
122,7889,WINTER_AUTUMN
123,4115,SUMMER_SPRING
123,4391,WINTER_AUTUMN
124,3268,SUMMER_SPRING
124,3841,WINTER_AUTUMN
131,3794,SUMMER_SPRING
131,3846,WINTER_AUTUMN
132,4341,SUMMER_SPRING
132,3961,WINTER_AUTUMN
133,1369,SUMMER_SPRING
133,1589,WINTER_AUTUMN
211,1654,SUMMER_SPRING
211,1726,WINTER_AUTUMN
212,1155,SUMMER_SPRING
212,1250,WINTER_AUTUMN
213,1201,SUMMER_SPRING
213,1527,WINTER_AUTUMN
214,629,SUMMER_SPRING
214,852,WINTER_AUTUMN
215,892,SUMMER_SPRING
215,1439,WINTER_AUTUMN
221,582,SUMMER_SPRING
221,738,WINTER_AUTUMN
222,1530,SUMMER_SPRING
222,1940,WINTER_AUTUMN
223,847,SUMMER_SPRING
223,975,WINTER_AUTUMN
224,992,SUMMER_SPRING
224,1373,WINTER_AUTUMN
225,1270,SUMMER_SPRING
225,1930,WINTER_AUTUMN
231,774,SUMMER_SPRING
231,739,WINTER_AUTUMN
232,683,SUMMER_SPRING
232,764,WINTER_AUTUMN
233,1252,SUMMER_SPRING
233,1322,WINTER_AUTUMN
234,1822,SUMMER_SPRING
234,1904,WINTER_AUTUMN
235,1124,SUMMER_SPRING
235,1580,WINTER_AUTUMN
311,1046,SUMMER_SPRING
311,983,WINTER_AUTUMN
312,2450,SUMMER_SPRING
312,2417,WINTER_AUTUMN
313,906,SUMMER_SPRING
313,1019,WINTER_AUTUMN
314,1008,SUMMER_SPRING
314,1037,WINTER_AUTUMN
321,2447,SUMMER_SPRING
321,2375,WINTER_AUTUMN
322,2377,SUMMER_SPRING
322,2260,WINTER_AUTUMN
323,2716,SUMMER_SPRING
323,3111,WINTER_AUTUMN
324,2353,SUMMER_SPRING
324,2030,WINTER_AUTUMN
331,4938,SUMMER_SPRING
331,4938,WINTER_AUTUMN
332,2165,SUMMER_SPRING
332,2090,WINTER_AUTUMN
333,1255,SUMMER_SPRING
333,1307,WINTER_AUTUMN
334,1597,SUMMER_SPRING
334,1595,WINTER_AUTUMN
411,2996,SUMMER_SPRING
411,3476,WINTER_AUTUMN
412,2629,SUMMER_SPRING
412,3262,WINTER_AUTUMN
413,2230,SUMMER_SPRING
413,2777,WINTER_AUTUMN
414,1560,SUMMER_SPRING
414,1974,WINTER_AUTUMN
421,1075,SUMMER_SPRING
421,1084,WINTER_AUTUMN
422,412,SUMMER_SPRING
422,459,WINTER_AUTUMN
423,1131,SUMMER_SPRING
423,1782,WINTER_AUTUMN
424,658,SUMMER_SPRING
424,887,WINTER_AUTUMN
431,1623,SUMMER_SPRING
431,2140,WINTER_AUTUMN
432,1475,SUMMER_SPRING
432,2250,WINTER_AUTUMN
433,900,SUMMER_SPRING
433,1275,WINTER_AUTUMN
434,994,SUMMER_SPRING
434,1472,WINTER_AUTUMN
511,2604,SUMMER_SPRING
511,3334,WINTER_AUTUMN
512,965,SUMMER_SPRING
512,1388,WINTER_AUTUMN
513,1162,SUMMER_SPRING
513,1515,WINTER_AUTUMN
522,535,SUMMER_SPRING
522,669,WINTER_AUTUMN
523,1126,SUMMER_SPRING
523,1377,WINTER_AUTUMN
524,1308,SUMMER_SPRING
524,1516,WINTER_AUTUMN
531,1059,SUMMER_SPRING
531,1247,WINTER_AUTUMN
532,858,SUMMER_SPRING
532,1156,WINTER_AUTUMN
533,595,SUMMER_SPRING
533,878,WINTER_AUTUMN
611,1388,SUMMER_SPRING
611,1502,WINTER_AUTUMN
612,1448,SUMMER_SPRING
612,1908,WINTER_AUTUMN
613,1282,SUMMER_SPRING
613,1448,WINTER_AUTUMN
614,1712,SUMMER_SPRING
614,1729,WINTER_AUTUMN
621,1805,SUMMER_SPRING
621,2181,WINTER_AUTUMN
622,3010,SUMMER_SPRING
622,3432,WINTER_AUTUMN
623,3410,SUMMER_SPRING
623,3645,WINTER_AUTUMN
624,2529,SUMMER_SPRING
624,2378,WINTER_AUTUMN
631,1360,SUMMER_SPRING
631,1305,WINTER_AUTUMN
632,3605,SUMMER_SPRING
632,3924,WINTER_AUTUMN
633,751,SUMMER_SPRING
633,872,WINTER_AUTUMN
634,1456,SUMMER_SPRING
634,1803,WINTER_AUTUMN
711,1536,SUMMER_SPRING
711,1794,WINTER_AUTUMN
712,1185,SUMMER_SPRING
712,1093,WINTER_AUTUMN
713,1256,SUMMER_SPRING
713,1176,WINTER_AUTUMN
714,1083,SUMMER_SPRING
714,1065,WINTER_AUTUMN
715,775,SUMMER_SPRING
715,915,WINTER_AUTUMN
722,1054,SUMMER_SPRING
722,1358,WINTER_AUTUMN
723,1146,SUMMER_SPRING
723,1316,WINTER_AUTUMN
724,846,SUMMER_SPRING
724,825,WINTER_AUTUMN
725,1468,SUMMER_SPRING
725,1480,WINTER_AUTUMN
726,792,SUMMER_SPRING
726,809,WINTER_AUTUMN
731,1662,SUMMER_SPRING
731,1599,WINTER_AUTUMN
732,659,SUMMER_SPRING
732,870,WINTER_AUTUMN
733,1107,SUMMER_SPRING
733,1282,WINTER_AUTUMN
734,858,SUMMER_SPRING
734,1088,WINTER_AUTUMN
735,1663,SUMMER_SPRING
735,1715,WINTER_AUTUMN
811,3261,SUMMER_SPRING
811,3941,WINTER_AUTUMN
812,1526,SUMMER_SPRING
812,1619,WINTER_AUTUMN
813,5500,SUMMER_SPRING
813,6915,WINTER_AUTUMN
814,2182,SUMMER_SPRING
814,3162,WINTER_AUTUMN
815,5156,SUMMER_SPRING
815,6502,WINTER_AUTUMN
821,3310,SUMMER_SPRING
821,4026,WINTER_AUTUMN
822,3765,SUMMER_SPRING
822,4212,WINTER_AUTUMN
823,3047,SUMMER_SPRING
823,3890,WINTER_AUTUMN
824,2306,SUMMER_SPRING
824,2740,WINTER_AUTUMN
825,1454,SUMMER_SPRING
825,1629,WINTER_AUTUMN
831,1717,SUMMER_SPRING
831,2208,WINTER_AUTUMN
832,1799,SUMMER_SPRING
832,2120,WINTER_AUTUMN
833,4582,SUMMER_SPRING
833,5572,WINTER_AUTUMN
834,3780,SUMMER_SPRING
834,4918,WINTER_AUTUMN
835,2959,SUMMER_SPRING
835,3535,WINTER_AUTUMN
911,2582,SUMMER_SPRING
911,3322,WINTER_AUTUMN
912,2541,SUMMER_SPRING
912,3577,WINTER_AUTUMN
913,1417,SUMMER_SPRING
913,1631,WINTER_AUTUMN
914,2593,SUMMER_SPRING
914,3073,WINTER_AUTUMN
915,1606,SUMMER_SPRING
915,2074,WINTER_AUTUMN
921,1499,SUMMER_SPRING
